SRC	Qty	Score	Excess	STR
08567KA00	7	0.885867074	0.7178	6
09513KA00	6	0.885748454	0.3039	22
09537KB10	108	0.885248339	0.2921	11
05350K500	12	0.885099444	1.2593	119
33836K100	3	0.885085447	7.6003	78
77202K900	26	0.884566408	0.1308	4345
19436KC00	54	0.882927926	0.4472	3
09436K100	10	0.882159156	0.291	44
09537KB10	107	0.881740901	0.2882	11
08528KA00	28	0.880189609	0.0142	20
08460K000	2	0.879650043	0.1599	44
08429K000	17	0.879537957	0.2896	13
09513KB00	29	0.878549195	0.7837	48
05611KD00	4	0.878518519	0.5704	8
01302K000	14	0.87804477	0.1748	176
09537KB10	106	0.87799042	0.2837	11
06333K000	10	0.877875029	0.1428	196
19883K000	13	0.877256159	0.1878	24
06425K000	5	0.877169811	7.5617	310
45503KB00	42	0.877166143	1.8293	8
08988K000	16	0.877022752	0.3463	166
01285K200	13	0.876947325	0.1502	399
27563KC00	2	0.876938776	7.7006	1
33837K100	26	0.875635776	7.6179	98
06601K000	2	0.875	2.264	130
11902K000	1	0.875	0.7433	177
09537KB10	105	0.874872054	0.2779	11
08420K000	2	0.87482935	0.0671	99
08457K000	17	0.874468672	0.2339	76
27563KD00	2	0.874444444	7.6239	2
09547KA10	34	0.87432141	0.2766	8
87010K400	10	0.873870283	0.0725	641
14547K000	2	0.873802972	0.0636	42
31815K000	12	0.8737635	0.0108	508
20518KB00	6	0.873559966	0.4739	3
44635K000	24	0.873464286	0.1833	534
01707K000	16	0.873230645	0.143	128
20518KC00	6	0.873181818	7.7565	2
12567KK00	10	0.872827028	0.1161	20
01225K300	14	0.872364725	0.103	600
08977K000	12	0.872098243	1.9467	66
19436KC00	53	0.872053416	0.4336	3
01655X000	4	0.871431644	0.383	432
44602K000	10	0.871150904	0.0684	113
09537KB10	104	0.870501163	0.277	11
08485K000	11	0.87004671	0.5789	72
08976K000	7	0.868710508	0.451	27
55733K000	3	0.868380282	7.5352	201
06433K000	4	0.868082952	0.129	173
45503KB00	41	0.867098851	1.7897	8
09537KB10	103	0.867066542	0.2722	11
09513KB00	28	0.867027281	0.7603	48
41737K100	19	0.866899093	0.0164	30
77202K900	25	0.865536852	0.1153	4345
55743K000	10	0.865485478	0.1236	160
05350K500	11	0.865338008	1.2044	119
01285K300	16	0.865063416	0.1229	495
40510KE00	24	0.865014962	1.8593	4
63702K000	4	0.865	0.1128	354
16503KB00	5	0.864911008	0.2033	2
12223K000	9	0.864367582	0.1213	12
45413K000	12	0.864349551	0.6043	20
08528KA00	27	0.863674785	0.0117	20
09547KA10	33	0.863327137	0.2612	8
02813K000	9	0.863295897	1.0464	41
19713K000	11	0.863172214	0.3433	45
43057KC00	8	0.862962963	7.8922	15
55663K100	6	0.862910831	0.8035	286
09537KB10	102	0.862812914	0.2632	11
40500KA00	14	0.862439362	0.0365	6
19436KC00	52	0.862192231	0.4227	3
87312K900	12	0.861837074	0.2173	4291
08457K000	16	0.861628107	0.2203	76
33837K100	25	0.861494253	7.6117	98
05611KD00	3	0.861422743	0.5036	8
01205K200	8	0.860028243	0.0835	392
11693K000	2	0.85967419	0.0843	183
55606K000	5	0.859177161	0.1503	52
43547KA00	26	0.859023039	1.0683	7
09537KB10	101	0.858932996	0.2603	11
01623K000	5	0.858911071	0.3688	65
08429K000	16	0.85872712	0.2568	13
05631KA00	15	0.858255452	0.5601	25
40840K000	16	0.857894737	7.7646	107
45503KB00	40	0.857494517	1.7581	8
08988K000	15	0.857486405	0.3211	166
06475K100	8	0.857447708	0.1763	357
44655K000	12	0.856956976	0.1416	522
20518KB00	5	0.855947105	0.4167	3
05430K000	2	0.855940287	0.1928	147
19883K000	12	0.85570502	0.1671	24
05611KF00	7	0.855203966	0.3281	7
09537KB10	100	0.854500923	0.2601	11
63602K000	1	0.854261456	0.021	255
19436KC00	51	0.853754492	0.4119	3
90376K000	14	0.853431373	0.3879	12
09513KB00	27	0.85308419	0.7416	48
11485K000	6	0.85304549	0.0844	374
08977K000	11	0.852614455	1.8181	66
37402K000	4	0.851367822	1.2546	244
16503KB00	4	0.851203027	0.1902	2
09537KB10	99	0.851145422	0.2531	11
06492K000	8	0.85	0.2264	113
09537KB10	98	0.84833352	0.2483	11
05340K000	16	0.848256089	0.4385	154
40500KA00	13	0.847950653	0.0317	6
09547KA10	32	0.847879059	0.2454	8
05611KD00	2	0.847636935	0.4304	8
45503KB00	39	0.847487784	1.7161	8
08528KA00	26	0.847356221	0.0095	20
33837K100	24	0.847191092	7.6055	98
08480K000	13	0.846847396	0.5558	70
44635K000	23	0.846294785	0.1685	534
77202K900	24	0.845817371	0.1113	4345
55883K000	11	0.845234114	0.1543	31
72007K000	11	0.845033585	0.065	83
09537KB10	97	0.844223585	0.2423	11
05350K500	10	0.844124963	1.1797	119
19436KC00	50	0.843346022	0.4033	3
08976K000	6	0.843141474	0.4074	27
12567KK00	9	0.842903028	0.0972	20
10567KG00	8	0.841997808	7.6874	21
19713K000	10	0.84183187	0.3193	45
47112K900	7	0.841711797	0.1181	4561
08457K000	15	0.841700473	0.2009	76
09513KB00	26	0.841586505	0.7143	48
40510KE00	23	0.84153605	1.8189	4
55889KE00	6	0.841129642	0.0475	6
10473K200	5	0.840902846	0.0566	241
33715K200	2	0.840800265	22.5246	466
08988K000	14	0.840253141	0.285	166
09537KB10	96	0.840066164	0.2364	11
41736K100	5	0.840033069	0.1487	96
12623K000	2	0.839956727	7.6146	22
34215K000	9	0.839561846	0.1272	193
01205K200	7	0.839252883	0.07	392
44315K000	10	0.839195373	0.3042	543
05340K000	15	0.839123488	0.4223	154
03443K000	5	0.839077364	0.2267	149
08429K000	15	0.838903001	0.2387	13
43547KA00	25	0.83884458	1.0052	7
55889KD00	6	0.838358478	0.0506	13
90882K000	7	0.83828125	0.0488	35
05611KD00	1	0.838214273	0.3575	8
08485K000	10	0.838158597	0.521	72
45503KB00	38	0.837565655	1.7138	8
20518KB00	4	0.837243268	0.3909	3
12423K000	4	0.836363636	0.043	12
09537KB10	95	0.836323594	0.2289	11
19883K000	11	0.835753759	0.1502	24
63312K000	8	0.835676981	0.1428	262
55423K000	5	0.835244229	0.0622	269
09547KA10	31	0.834870365	0.2282	8
12413K000	9	0.834602782	0.4214	16
06615K000	4	0.834210526	0.0323	476
27773K000	28	0.834120935	7.6547	2
55743K000	9	0.833967949	0.0982	160
30815K300	4	0.833189655	0.1723	184
01225K300	13	0.83312069	0.0862	600
33837K100	23	0.832887931	7.5994	98
19436KC00	49	0.832855829	0.3852	3
09537KB10	94	0.832575128	0.2274	11
01302K000	13	0.832278358	0.1428	176
09513KA00	5	0.831818958	0.2552	22
63365K000	6	0.831524702	0.2192	680
10504KD00	3	0.83125	9.7693	33
10283K000	2	0.83119709	2.264	193
01707K000	15	0.830907497	0.1198	128
08977K000	10	0.830339357	1.7102	66
27583KA00	6	0.829935065	7.6728	4
09436K100	9	0.829070742	0.2401	44
33735K200	2	0.828981481	0.0023	246
41750K000	2	0.828942622	0.561	32
08528KA00	25	0.828937035	0.0068	20
08988K000	13	0.828383224	0.2575	166
01285K200	12	0.828171544	0.1234	399
08457K000	14	0.827893925	0.1843	76
09513KB00	25	0.827712581	0.6975	48
63426K000	2	0.827625927	0.6052	67
45503KB00	37	0.827614993	1.6915	8
08567KA00	6	0.827540107	0.6338	6
41737K100	18	0.827291194	0.008	30
09537KB10	93	0.827247159	0.2249	11
05435K000	12	0.826915155	0.4726	145
08978K000	14	0.826666667	2.1904	46
08680K000	2	0.82646871	0.0	92
87312K900	11	0.826400701	0.1822	4291
33836K100	2	0.82589852	7.5791	78
05350K500	9	0.825192043	1.1214	119
01285K300	15	0.824524268	0.101	495
05340K000	14	0.824516713	0.396	154
45413K000	11	0.824500106	0.5881	20
55849KC00	7	0.824424603	0.3459	11
09547KA10	30	0.824206008	0.2229	8
09537KB10	92	0.823979878	0.2155	11
12567KK00	8	0.823921984	0.0717	20
19436KC00	48	0.823763099	0.3744	3
77202K900	23	0.823334084	0.1012	4345
40500KA00	12	0.823151527	0.0281	6
40840K000	15	0.822368421	7.7496	107
05631KA00	14	0.821767913	0.5148	25
19886K000	4	0.820875476	0.1563	36
19713K000	9	0.820725677	0.2952	45
09537KB10	91	0.820588336	0.2116	11
08976K000	5	0.820386643	0.3427	27
44693K000	9	0.820062358	0.0107	91
05413K000	15	0.820041117	2.4983	53
43547KA00	24	0.819293651	0.9611	7
41750K000	1	0.819279333	0.5575	32
08480K000	12	0.819080695	0.5097	70
44635K000	22	0.818898526	0.1529	534
12567KA00	2	0.818701565	0.032	16
33837K100	22	0.818423132	7.5935	98
40510KE00	22	0.818057139	1.7127	4
05430K000	1	0.81779205	0.1764	147
31815K000	11	0.817759631	0.0041	508
02813K000	8	0.817710994	0.9543	41
45503KB00	36	0.817622475	1.6209	8
09513KB00	24	0.817568669	0.684	48
09537KB10	90	0.817344451	0.2069	11
06333K000	9	0.817032116	0.1027	196
27773K000	27	0.816590399	7.6452	2
55508KA00	34	0.816267784	0.184	21
19883K000	10	0.815970199	0.1242	24
10567KG00	7	0.815825755	7.6545	21
90376K000	13	0.815686275	0.3429	12
16503KB00	3	0.814929005	0.1719	2
08528KA00	24	0.814782696	0.0055	20
08460K000	1	0.814682666	0.1246	44
63426K000	1	0.814448521	0.5865	67
06425K000	4	0.814339623	7.5395	310
08485K000	9	0.813297697	0.4801	72
08420K000	1	0.813184845	0.0477	99
08453K000	3	0.8131756	0.4177	65
08429K000	14	0.813113057	0.2154	13
05435K000	11	0.812951356	0.4499	145
19436KC00	47	0.812755271	0.3613	3
40820K000	4	0.8125	0.1809	22
55606K000	4	0.812473088	0.1056	52
20518KB00	3	0.812376677	0.3413	3
09537KB10	89	0.812106252	0.2034	11
05340K000	13	0.811875947	0.3987	154
05611KF00	6	0.811661004	0.2932	7
10598KB00	7	0.81150821	0.3649	28
06475K100	7	0.811464111	0.1302	357
08977K000	9	0.811134904	1.5523	66
08457K000	13	0.810674813	0.1694	76
09547KA10	29	0.810580303	0.2037	8
12413K000	8	0.810511262	0.3888	16
08978K000	13	0.810053362	2.0578	46
55508KA00	33	0.809767644	0.1716	21
40500KA00	11	0.809455263	0.0254	6
08430K000	4	0.809396903	0.0336	21
55663K100	5	0.808778185	0.6306	286
08988K000	12	0.808727135	0.2242	166
09537KB10	88	0.80865639	0.2031	11
08473K000	4	0.807992454	0.2876	90
20518KC00	5	0.807878788	7.7152	2
45503KB00	35	0.807546039	1.5843	8
44602K000	9	0.807148179	0.031	113
87010K400	9	0.806992861	0.0513	641
34205K000	4	0.805813492	0.0526	259
09513KB00	23	0.805150617	0.664	48
03313K000	19	0.804788365	0.3562	97
09537KB10	87	0.804787242	0.1972	11
19436KC00	46	0.804453292	0.3557	3
05350K500	8	0.804235989	1.083	119
33837K100	21	0.803958333	7.5875	98
05435K000	10	0.803733874	0.4358	145
55508KA00	32	0.803294477	0.1732	21
77202K900	22	0.802270446	0.0792	4345
44655K000	11	0.80155841	0.0911	522
09537KB10	86	0.80067474	0.1906	11
05413K000	14	0.800474578	2.4008	53
40793K000	5	0.8	0.0	73
55889KC00	7	0.799247757	0.048	2
19713K000	8	0.799213391	0.2753	45
45413K000	10	0.799198878	0.5464	20
11485K000	5	0.799184844	0.0549	374
43547KA00	23	0.798944747	0.9095	7
27773K000	26	0.798836922	7.6358	2
01225K300	12	0.798742192	0.0748	600
01302K000	12	0.7981844	0.106	176
41710K000	1	0.797772011	2.3056	197
09537KB10	85	0.797601764	0.1803	11
45503KB00	34	0.797384454	1.5649	8
55508KA00	31	0.796878082	0.1558	21
77250K100	3	0.796393933	0.0	737
09547KA10	28	0.796321941	0.1901	8
05340K000	12	0.795643738	0.3524	154
08528KA00	23	0.795499794	0.0034	20
